.RUT (CBOE),776.99,+1.12,
Jan 08 2007 @ 21:29 ET (Data 15 Minutes Delayed),
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
07 Jan 820.0 (RUZ AD),0.15,-0.15,0.15,0.25,799,5050,07 Jan 820.0 (RUZ MD),41.50,-1.10,42.60,43.40,28,1048,
07 Jan 820.0 (RUZ AD-E),0.20,-0.10,0.15,0.25,462,5050,07 Jan 820.0 (RUZ MD-E),41.50,+5.50,42.60,43.40,28,1048,
07 Jan 820.0 (RUZ AD-A),0.20,-0.15,0.15,0.25,134,5050,07 Jan 820.0 (RUZ MD-A),31.80,pc,42.20,43.60,0,1048,
07 Jan 820.0 (RUZ AD-B),0.30,-0.60,0.05,0.35,33,5050,07 Jan 820.0 (RUZ MD-B),30.90,pc,42.50,43.40,0,1048,
07 Jan 820.0 (RUZ AD-8),0.15,-0.20,0.10,0.25,170,5050,07 Jan 820.0 (RUZ MD-8),42.60,pc,42.60,43.40,0,1048,
07 Jan 830.0 (RUZ AF),0.15,--,0.05,0.10,316,5274,07 Jan 830.0 (RUZ MF),47.30,pc,52.40,53.30,0,783,
07 Jan 830.0 (RUZ AF-E),0.10,-0.05,0.05,0.10,138,5274,07 Jan 830.0 (RUZ MF-E),42.80,pc,52.40,53.30,0,783,
07 Jan 830.0 (RUZ AF-A),0.25,pc,0.05,0.15,0,5274,07 Jan 830.0 (RUZ MF-A),34.80,pc,52.20,53.50,0,783,
07 Jan 830.0 (RUZ AF-B),0.20,pc,0,0.25,0,5274,07 Jan 830.0 (RUZ MF-B),0,pc,52.40,53.30,0,783,
07 Jan 830.0 (RUZ AF-8),0.15,+0.05,0.05,0.20,178,5274,07 Jan 830.0 (RUZ MF-8),47.30,pc,52.40,53.30,0,783,
07 Jan 840.0 (RUZ AH),0.05,--,0,0.05,85,6167,07 Jan 840.0 (RUZ MH),53.00,pc,62.30,63.30,0,284,
07 Jan 840.0 (RUZ AH-E),0.05,--,0,0.05,39,6167,07 Jan 840.0 (RUZ MH-E),41.10,pc,62.30,63.30,0,284,
07 Jan 840.0 (RUZ AH-A),0.15,pc,0,0.15,0,6167,07 Jan 840.0 (RUZ MH-A),0,pc,62.10,63.40,0,284,
07 Jan 840.0 (RUZ AH-B),0.40,pc,0,0.20,0,6167,07 Jan 840.0 (RUZ MH-B),48.40,pc,62.30,63.30,0,284,
07 Jan 840.0 (RUZ AH-8),0.05,--,0,0.15,46,6167,07 Jan 840.0 (RUZ MH-8),53.00,pc,62.30,63.30,0,284,
07 Jan 850.0 (RUZ AJ),0.05,--,0,0.15,57,7348,07 Jan 850.0 (RUZ MJ),73.20,pc,72.30,73.30,0,123,
